Field	Value
Customer Category	INDIVIDUAL - CIF AND ACCOUNT
ID Document Type	ID-N - CNIC
ID Document Number	4210521394312
CNIC Issuance Date	2024-11-05
CNIC Expiry Date	2025-08-05
VISA Expiry Date	2026-11-22
Date Of Birth	2004-10-12
Sector Code	1018 - Salaried Person
Nationality	Pakistan
Assan Account	NO
Marital Status	SINGLE
Customer Title	Mr.
Gender	MALE
First Name	Javed
Middle Name	Asad
Last Name	das
Father's Name	Paul
Mother's Name	ALina
Occupation	133 - PRIVATE SERVICE
Industry Code	5101 - Arms Manufacturer/Arms Dealer
Tax Reason (CRS)	REASON A
Tax Residence (CRS)	NO
